Gel file name	Lane # on gel	Total # of lanes on gel	Buffer	Buffer Concentration	Buffer Unit	Salt	Salt Concentration	Salt Unit	Salt	Salt Concentration	Salt Unit	Detergent	Detergent Concentration	Detergent Unit	Other	Other Concentration	Other Unit	pH	Mass Ladder	Quantity std	Over-expressed	Protein Systematic Name	Tag Type	Tag location	Antibody	Other capture	Notes
Nup1_matrix4_filt_1	1	26																	"250, 150, 100, 75, 50, 37, 25, 20, 15, 10"								
Nup1_matrix4_filt_1	2	26	NH4 Acet	125	mM							Triton X-100	15	mM				7			no	YOR098C	protein A (PMID: 8522578)	 C-term	Rabbit IgG (Innovative Research IR-RB-GF)		Nup1-PrA expressed under endogenous promoter
Nup1_matrix4_filt_1	3	26	HEPES-K	20	mM	K Acet	125	mM	KCl	100	mM	Triton X-100	15	mM				7.4			no	YOR098C	protein A (PMID: 8522578)	 C-term	Rabbit IgG (Innovative Research IR-RB-GF)		Nup1-PrA expressed under endogenous promoter
Nup1_matrix4_filt_1	4	26	NH4 Acet	250	mM							Triton X-100	15	mM				7			no	YOR098C	protein A (PMID: 8522578)	 C-term	Rabbit IgG (Innovative Research IR-RB-GF)		Nup1-PrA expressed under endogenous promoter
Nup1_matrix4_filt_1	5	26	HEPES-K	20	mM	K Acet	250	mM	KCl	100	mM	Triton X-100	15	mM				7.4			no	YOR098C	protein A (PMID: 8522578)	 C-term	Rabbit IgG (Innovative Research IR-RB-GF)		Nup1-PrA expressed under endogenous promoter
Nup1_matrix4_filt_1	6	26	NH4 Acet	500	mM							Triton X-100	15	mM				7			no	YOR098C	protein A (PMID: 8522578)	 C-term	Rabbit IgG (Innovative Research IR-RB-GF)		Nup1-PrA expressed under endogenous promoter
Nup1_matrix4_filt_1	7	26	HEPES-K	20	mM				KCl	500	mM	Triton X-100	15	mM				7.4			no	YOR098C	protein A (PMID: 8522578)	 C-term	Rabbit IgG (Innovative Research IR-RB-GF)		Nup1-PrA expressed under endogenous promoter
Nup1_matrix4_filt_1	8	26	NH4 Acet	1500	mM							Triton X-100	15	mM				7			no	YOR098C	protein A (PMID: 8522578)	 C-term	Rabbit IgG (Innovative Research IR-RB-GF)		Nup1-PrA expressed under endogenous promoter
Nup1_matrix4_filt_1	9	26	HEPES-K	20	mM	K Acet	50	mM	KCl	500	mM	Triton X-100	15	mM				7.4			no	YOR098C	protein A (PMID: 8522578)	 C-term	Rabbit IgG (Innovative Research IR-RB-GF)		Nup1-PrA expressed under endogenous promoter
Nup1_matrix4_filt_1	10	26	HEPES-K	20	mM	K Acet	50	mM				Triton X-100	15	mM				7.4			no	YOR098C	protein A (PMID: 8522578)	 C-term	Rabbit IgG (Innovative Research IR-RB-GF)		Nup1-PrA expressed under endogenous promoter
Nup1_matrix4_filt_1	11	26	HEPES-K	20	mM	K Acet	125	mM	KCl	500	mM	Triton X-100	15	mM				7.4			no	YOR098C	protein A (PMID: 8522578)	 C-term	Rabbit IgG (Innovative Research IR-RB-GF)		Nup1-PrA expressed under endogenous promoter
